PERMNO,date,TICKER,PRC,VOL,RET
90448,2023-05-11,GLD,187.13000,8245523,-0.008583
90448,2023-05-12,GLD,186.81000,7087462,-0.001710
90448,2023-05-15,GLD,187.21001,5518086,0.002141
90448,2023-05-16,GLD,184.87000,9527806,-0.012499
90448,2023-05-17,GLD,184.23000,7474277,-0.003462
90448,2023-05-18,GLD,181.84000,8812591,-0.012973
90448,2023-05-19,GLD,183.64000,8434976,0.009899
90448,2023-05-22,GLD,183.21001,4834298,-0.002341
90448,2023-05-23,GLD,183.42999,6345012,0.001201
90448,2023-05-24,GLD,181.95000,6732940,-0.008068
90448,2023-05-25,GLD,180.20000,6919174,-0.009618
90448,2023-05-26,GLD,180.92000,5823674,0.003996
90448,2023-05-30,GLD,182.03999,4906066,0.006191
90448,2023-05-31,GLD,182.32001,8497893,0.001538
90448,2023-06-01,GLD,183.75999,7300542,0.007898
90448,2023-06-02,GLD,181.05000,8726111,-0.014747
90448,2023-06-05,GLD,182.14000,6403343,0.006020
90448,2023-06-06,GLD,182.34000,4967156,0.001098
90448,2023-06-07,GLD,180.14999,9066528,-0.012011
90448,2023-06-08,GLD,182.53000,6394890,0.013211
90448,2023-06-09,GLD,182.03999,4380811,-0.002685
90448,2023-06-12,GLD,181.88000,4875450,-0.000879
90448,2023-06-13,GLD,180.53999,5126686,-0.007368
90448,2023-06-14,GLD,180.64000,6807003,0.000554
90448,2023-06-15,GLD,181.91000,6739009,0.007031
90448,2023-06-16,GLD,181.63000,8779096,-0.001539
90448,2023-06-20,GLD,179.75000,7586229,-0.010351
90448,2023-06-21,GLD,179.49001,6702339,-0.001446
90448,2023-06-22,GLD,177.71001,7948565,-0.009917
90448,2023-06-23,GLD,178.20000,5419784,0.002757
90448,2023-06-26,GLD,178.50999,3222050,0.001740
